StateAbbr,County,EthnicIdentity,Age,Gender,MaritalStatus,Veteran,Imprisoned,NumberInHousehold,AnnualIncome,Category,Subcategory,AskedOnUtc,ClosedOnUtc,Uno,emotion
GA,Houston,Caucasian,35.0,Male,Married / remarried,No,No,6.0,20000.0,Family and Children,Family/Divorce/Custody,2018-06-20 20:03:51,2018-07-12 22:38:50,4A4D3A85-D0DC-4190-A693-6E3835BDDD0E,fear
GA,Houston,Caucasian,35.0,Male,Married / remarried,No,No,6.0,20000.0,Income Maintenance,Benefits,2020-01-04 10:24:27,2020-09-11 17:27:08,4A4D3A85-D0DC-4190-A693-6E3835BDDD0E,fear
GA,Houston,Caucasian,35.0,Male,Married / remarried,No,No,6.0,20000.0,Income Maintenance,Benefits,2018-09-20 22:53:10,2019-05-31 01:12:27,4A4D3A85-D0DC-4190-A693-6E3835BDDD0E,fear
GA,Rockdale,Caucasian,23.0,Female,Separated,No,No,3.0,30000.0,Family and Children,Family/Divorce/Custody,2018-06-20 20:06:58,2018-10-26 14:01:57,8E5F3376-8AEF-4C2F-90FD-6B56A49C78B6,fear
GA,Pickens,Caucasian,49.0,Female,Married / remarried,No,No,5.0,35000.0,Family and Children,Family/Divorce/Custody,2018-06-20 20:44:07,2018-10-26 14:02:17,6118C3AF-2EBC-40D8-8765-F259BD3F05F9,fear
GA,Newton,Other,51.0,Female,Married / remarried,No,No,5.0,45000.0,Family and Children,Family/Divorce/Custody,2018-06-21 02:56:19,2018-07-01 03:08:43,43F4D38F-6579-461B-8B09-98B2D4B02F4C,surprise
GA,Long,Latino or Hispanic,38.0,Male,Other,,No,7.0,20000.0,Family and Children,Family/Divorce/Custody,2018-06-22 00:35:39,2018-10-26 14:02:45,1AA0A156-C2BF-49A6-9A51-A8B5499130E6,angry
GA,Richmond,Caucasian,28.0,Female,Married / remarried,No,No,2.0,39000.0,Consumer Financial Questions,Debts & Purchases,2018-06-22 17:52:49,2018-10-26 14:04:42,81A4EBF6-E458-464D-9813-6D2D247EA85D,fear
GA,DeKalb,Caucasian,64.0,Male,Divorced or Widowed,Yes,No,1.0,16000.0,Other,Other,2018-06-22 17:54:22,2018-10-26 14:05:39,86CA5A07-90D9-4489-B853-A16EC947C634,surprise
GA,Tift,Other,33.0,Other,Other,No,No,2.0,7600.0,Consumer Financial Questions,Debts & Purchases,2018-06-25 13:51:55,2018-10-26 14:06:20,24C1C04F-7187-4380-83D5-63458C2F419C,fear
GA,Clayton,African American,28.0,Female,Single,No,No,2.0,28800.0,"Work, Employment and Unemployment",Work,2018-06-25 14:18:27,2018-10-26 14:08:06,BED64E40-A063-4D86-A937-66E27ACC768E,fear
GA,Douglas,African American,26.0,Female,Single,No,No,2.0,9000.0,Housing and Homelessness,Housing or Property Owned,2018-06-25 16:24:58,2018-10-26 14:08:57,753290E7-F5FD-4D18-A744-FB26AD31F2E8,fear
GA,Douglas,African American,26.0,Female,Single,No,No,2.0,9000.0,Housing and Homelessness,Housing or Property Owned,2018-06-25 16:34:38,2018-10-26 14:09:25,753290E7-F5FD-4D18-A744-FB26AD31F2E8,fear
GA,DeKalb,African American,70.0,Female,Separated,No,No,6.0,40000.0,Family and Children,Family/Divorce/Custody,2018-06-26 11:26:56,2018-10-26 14:10:08,37807512-D946-4CAD-9D85-5195891A9360,fear
GA,Harris,Caucasian,18.0,Female,Separated,No,No,5.0,14400.0,Family and Children,Family/Divorce/Custody,2018-06-26 13:36:33,2018-10-26 14:10:38,5D4372AA-62C1-41A8-A1AA-378419E892EF,happy
GA,Walker,Caucasian,19.0,Female,Single,No,No,3.0,30000.0,Family and Children,Family/Divorce/Custody,2018-06-26 15:00:12,2018-10-26 14:10:59,34885C9A-CE6C-4E86-8066-8316557DA58E,sad
GA,Morgan,African American,55.0,Female,Single,No,No,2.0,0.0,Other,Other,2018-06-26 23:56:05,2018-10-26 14:11:36,79243CE0-310C-4807-98A1-F9F07B693391,fear
GA,Coweta,Other,47.0,Female,Single,No,No,3.0,12000.0,Family and Children,Family/Divorce/Custody,2018-06-27 03:19:20,2018-10-26 14:12:20,D9878B11-C463-4FA2-8DFD-EEA6067E1BE2,fear
GA,Rockdale,Other,36.0,Female,Married / remarried,No,No,4.0,60000.0,Consumer Financial Questions,Debts & Purchases,2018-06-27 16:50:39,2018-10-26 14:13:05,CE39F7E2-F989-4766-8B38-E6546792A68F,fear
GA,Gwinnett,African American,41.0,Female,Married / remarried,No,No,5.0,2000.0,Family and Children,Family/Divorce/Custody,2018-06-28 03:30:42,2018-10-26 14:13:34,AE814FCE-616F-4DD4-9C75-64AE2B805F55,fear
GA,Gwinnett,African American,41.0,Female,Married / remarried,No,No,5.0,2000.0,Family and Children,Family/Divorce/Custody,2018-06-28 03:34:51,2018-07-09 16:16:34,AE814FCE-616F-4DD4-9C75-64AE2B805F55,fear
GA,Gwinnett,African American,41.0,Female,Married / remarried,No,No,5.0,2000.0,Family and Children,Family/Divorce/Custody,2018-06-28 03:34:51,2018-07-09 16:16:34,AE814FCE-616F-4DD4-9C75-64AE2B805F55,fear
GA,Lumpkin,Caucasian,55.0,Male,Divorced or Widowed,Yes,No,6.0,0.0,Individual Rights,Civil/Constitutional Rights,2018-06-28 14:14:36,2018-07-09 16:15:05,8719176E-B0C2-4501-B040-C2FF0EDD46B7,fear
GA,Lumpkin,Caucasian,55.0,Male,Divorced or Widowed,Yes,No,6.0,0.0,Individual Rights,Civil/Constitutional Rights,2018-06-28 14:14:36,2018-07-09 16:15:05,8719176E-B0C2-4501-B040-C2FF0EDD46B7,fear
GA,Clayton,African American,27.0,Female,Single,No,No,3.0,21000.0,Housing and Homelessness,Housing or Property Owned,2018-06-28 16:20:01,2018-10-26 14:14:21,97A742B5-E515-4E0C-9FEF-64052F1DA834,surprise
GA,Richmond,Other,27.0,Female,Single,No,No,2.0,3000.0,Housing and Homelessness,Housing or Property Owned,2018-06-29 02:15:01,2018-10-26 14:14:41,65A963F1-68C6-4D2F-9AF5-93883024B4F1,fear
GA,Gordon,Caucasian,37.0,Female,Separated,No,No,1.0,0.0,Family and Children,Family/Divorce/Custody,2018-06-29 09:44:38,2018-11-02 19:56:51,5727F556-CAF5-488B-9F44-E4914CA133CD,fear
GA,Gordon,Caucasian,37.0,Female,Separated,No,No,1.0,0.0,Family and Children,Family/Divorce/Custody,2018-06-29 09:44:38,2018-11-02 19:56:51,5727F556-CAF5-488B-9F44-E4914CA133CD,fear
GA,Rockdale,African American,41.0,Male,Single,No,No,3.0,25000.0,Family and Children,Family/Divorce/Custody,2018-06-29 13:14:19,2018-10-12 18:30:45,DD67C3D6-D2F1-4997-A2EE-58081CE60331,fear
GA,Rockdale,African American,41.0,Male,Single,No,No,3.0,25000.0,Family and Children,Family/Divorce/Custody,2018-06-29 13:14:19,2018-10-12 18:30:45,DD67C3D6-D2F1-4997-A2EE-58081CE60331,fear
GA,Hall,Caucasian,29.0,Male,Single,No,No,6.0,54000.0,Family and Children,Family/Divorce/Custody,2018-06-29 13:54:05,2018-10-26 14:15:03,988DB0D8-5B6A-45B8-942C-F29D2BA28DC9,fear
GA,DeKalb,African American,20.0,Female,Single,No,No,7.0,21600.0,Other,Other,2018-06-29 19:00:42,2018-06-29 19:00:51,BE904A39-3482-4FAE-B037-88997B1FAE82,fear
GA,DeKalb,African American,20.0,Female,Single,No,No,7.0,21600.0,Other,Other,2018-06-29 18:59:35,2018-10-26 14:18:03,BE904A39-3482-4FAE-B037-88997B1FAE82,fear
GA,DeKalb,African American,20.0,Female,Single,No,No,7.0,21600.0,Other,Other,2018-06-29 18:59:35,2018-10-26 14:18:03,BE904A39-3482-4FAE-B037-88997B1FAE82,fear
GA,DeKalb,African American,20.0,Female,Single,No,No,7.0,21600.0,Other,Other,2018-06-29 18:59:35,2018-10-26 14:18:03,BE904A39-3482-4FAE-B037-88997B1FAE82,fear
GA,DeKalb,African American,20.0,Female,Single,No,No,7.0,21600.0,Other,Other,2018-07-16 16:46:41,2018-10-26 14:26:33,BE904A39-3482-4FAE-B037-88997B1FAE82,fear
GA,Elbert,Caucasian,38.0,Female,Married / remarried,No,No,7.0,5000.0,Family and Children,Family/Divorce/Custody,2018-07-01 08:32:12,2018-10-26 14:18:51,A89AC26D-214A-4F3A-8C21-05353E2F105E,happy
GA,Union,Caucasian,28.0,Male,Separated,No,No,1.0,10000.0,Family and Children,Family/Divorce/Custody,2018-07-03 23:05:59,2018-10-26 14:19:16,6C52310B-3873-4CA4-ADC5-166B752585E6,fear
GA,Gilmer,Caucasian,62.0,Female,Separated,No,No,1.0,16440.0,Family and Children,Family/Divorce/Custody,2018-07-05 15:28:21,2018-10-26 14:19:38,20CBAA88-BF04-4632-B74E-CBB7C92BF4AD,fear
GA,Gilmer,Caucasian,62.0,Female,Separated,No,No,1.0,16440.0,Family and Children,Family/Divorce/Custody,2018-07-05 15:28:21,2018-10-26 14:19:38,20CBAA88-BF04-4632-B74E-CBB7C92BF4AD,fear
GA,White,Caucasian,34.0,Male,Single,No,No,3.0,28000.0,Family and Children,Wills/Inheritance,2018-07-05 14:40:26,2018-07-19 16:13:50,449AEF6D-788F-4400-B668-F6A43E069FF8,fear
GA,White,Caucasian,34.0,Male,Single,No,No,3.0,28000.0,Family and Children,Wills/Inheritance,2018-07-05 14:40:26,2018-07-19 16:13:50,449AEF6D-788F-4400-B668-F6A43E069FF8,fear
GA,Clarke,Caucasian,46.0,Female,Single,No,No,1.0,14000.0,Income Maintenance,Benefits,2018-07-05 18:17:30,2018-07-19 16:11:50,09688595-D67A-45A2-BF83-7EC506AC87B9,fear
GA,Clarke,Caucasian,46.0,Female,Single,No,No,1.0,14000.0,Income Maintenance,Benefits,2018-07-05 18:17:30,2018-07-19 16:11:50,09688595-D67A-45A2-BF83-7EC506AC87B9,fear
GA,Rockdale,African American,37.0,Male,Married / remarried,No,No,6.0,21000.0,Family and Children,Family/Divorce/Custody,2018-07-06 03:38:38,2018-10-26 14:20:28,202526DD-33F2-4EB1-A577-88FA4294EC75,fear
GA,Cobb,Caucasian,42.0,Male,Single,No,No,1.0,22000.0,"Work, Employment and Unemployment",Work,2018-07-06 05:21:34,2018-10-26 14:20:55,F6DBA004-B7DD-4A14-869D-D4F38F86597F,sad
GA,Walton,Caucasian,37.0,Female,Single,No,No,1.0,19000.0,Family and Children,Family/Divorce/Custody,2018-07-06 13:12:19,2018-10-26 14:21:30,9F157F40-1F12-43A2-89F9-7970A915B4C4,fear
GA,Wilcox,Caucasian,32.0,Female,Single,No,No,2.0,0.0,Other,Other,2018-07-06 15:40:21,2018-10-26 14:22:09,8D7ACA41-104B-43E6-9D7E-E9E9BAB66E31,angry
GA,Lowndes,Other,27.0,Female,Married / remarried,Yes,No,4.0,35000.0,Family and Children,Family/Divorce/Custody,2018-07-10 16:19:52,2018-10-26 14:22:33,EA38DD91-C9CE-4A3F-82FD-25A7EB99F1E7,sad
GA,Habersham,Caucasian,50.0,Female,Divorced or Widowed,No,No,2.0,1000.0,Consumer Financial Questions,Debts & Purchases,2018-07-10 23:03:02,2018-10-26 14:22:59,19111530-E7DB-4106-B48A-CDC5F6D4EE2A,sad
GA,Habersham,Caucasian,50.0,Female,Divorced or Widowed,No,No,2.0,1000.0,Consumer Financial Questions,Debts & Purchases,2018-07-10 23:56:33,2018-10-26 14:23:20,19111530-E7DB-4106-B48A-CDC5F6D4EE2A,sad
GA,Douglas,African American,28.0,Female,Married / remarried,No,No,3.0,50000.0,Family and Children,Family/Divorce/Custody,2018-07-12 01:09:18,2018-10-26 14:23:43,78D91535-4282-4FE2-831B-D0D3165F62C8,sad
GA,Catoosa,Other,61.0,Other,Other,,No,2.0,8900.0,Family and Children,Family/Divorce/Custody,2018-07-12 07:45:44,2018-10-26 14:24:13,88D7A868-55E8-4D15-802B-34B82A29B5C4,happy
GA,Union,Other,68.0,Female,Married / remarried,No,No,2.0,32460.0,Family and Children,Wills/Inheritance,2018-07-13 16:12:39,2018-07-27 14:37:41,510D7CDC-7147-429A-B4E0-FB2D407D543E,fear
GA,Union,Other,68.0,Female,Married / remarried,No,No,2.0,32460.0,Family and Children,Wills/Inheritance,2018-07-13 16:12:39,2018-07-27 14:37:41,510D7CDC-7147-429A-B4E0-FB2D407D543E,fear
GA,Union,Other,68.0,Female,Married / remarried,No,No,2.0,32460.0,Family and Children,Wills/Inheritance,2018-07-13 16:12:39,2018-07-27 14:37:41,510D7CDC-7147-429A-B4E0-FB2D407D543E,fear
GA,Union,Other,68.0,Female,Married / remarried,No,No,2.0,32460.0,Individual Rights,Civil/Constitutional Rights,2018-07-13 16:23:41,2018-07-27 14:36:13,510D7CDC-7147-429A-B4E0-FB2D407D543E,fear
GA,Sumter,African American,58.0,Female,Divorced or Widowed,No,No,1.0,0.0,Other,Other,2018-07-13 16:45:27,2018-10-26 14:24:34,59300643-732B-491B-96E4-145AF13A05AF,sad
GA,Sumter,African American,58.0,Female,Divorced or Widowed,No,No,1.0,0.0,Other,Other,2018-07-13 16:45:27,2018-10-26 14:24:34,59300643-732B-491B-96E4-145AF13A05AF,sad
GA,Clarke,Other,23.0,Male,Single,No,No,1.0,9000.0,Housing and Homelessness,Housing or Property Owned,2018-07-13 20:28:50,2018-10-01 17:50:31,EBE8CCD1-8C05-43AA-9892-F12562AC1CA1,fear
GA,Clarke,Other,23.0,Male,Single,No,No,1.0,9000.0,Housing and Homelessness,Housing or Property Owned,2018-07-13 20:28:50,2018-10-01 17:50:31,EBE8CCD1-8C05-43AA-9892-F12562AC1CA1,fear
GA,Carroll,Caucasian,60.0,Female,Divorced or Widowed,Yes,No,1.0,9600.0,Consumer Financial Questions,Debts & Purchases,2018-07-16 14:37:49,2018-08-04 18:05:59,D15E41E8-A2A9-489C-85EB-B815B73295A2,fear
GA,Carroll,Caucasian,60.0,Female,Divorced or Widowed,Yes,No,1.0,9600.0,Consumer Financial Questions,Debts & Purchases,2018-07-16 14:37:49,2018-08-04 18:05:59,D15E41E8-A2A9-489C-85EB-B815B73295A2,fear
GA,Fulton,Caucasian,24.0,Female,Single,No,No,2.0,0.0,Family and Children,Family/Divorce/Custody,2018-07-16 15:50:58,2018-10-26 14:24:53,10AC0E8B-0F3F-400B-80DB-7EAC44D6FC13,fear
GA,Hall,Caucasian,30.0,Female,Married / remarried,No,No,7.0,15000.0,Family and Children,Family/Divorce/Custody,2018-07-17 05:38:37,2018-10-26 14:26:54,B05C9582-FD45-4553-9225-12B2FF837260,happy
GA,Glynn,Caucasian,53.0,Female,Divorced or Widowed,No,No,1.0,9000.0,Family and Children,Wills/Inheritance,2018-07-17 08:49:35,2018-08-04 19:03:59,C7EAF70C-E9A9-4F90-9877-1FCB261BF7C4,fear
GA,Glynn,Caucasian,53.0,Female,Divorced or Widowed,No,No,1.0,9000.0,Family and Children,Wills/Inheritance,2018-07-17 08:49:35,2018-08-04 19:03:59,C7EAF70C-E9A9-4F90-9877-1FCB261BF7C4,fear
GA,Glynn,Caucasian,53.0,Female,Divorced or Widowed,No,No,1.0,9000.0,Family and Children,Wills/Inheritance,2018-07-17 08:49:35,2018-08-04 19:03:59,C7EAF70C-E9A9-4F90-9877-1FCB261BF7C4,fear
GA,Glynn,Caucasian,53.0,Female,Divorced or Widowed,No,No,1.0,9000.0,Family and Children,Wills/Inheritance,2018-07-17 08:49:35,2018-08-04 19:03:59,C7EAF70C-E9A9-4F90-9877-1FCB261BF7C4,fear
GA,Glynn,African American,56.0,Male,Married / remarried,No,No,4.0,36.0,Consumer Financial Questions,Debts & Purchases,2018-07-17 14:03:20,2018-10-26 14:29:03,9F75F033-7236-4354-99B0-AB69155BDB28,fear
GA,Richmond,Caucasian,28.0,Female,Divorced or Widowed,No,No,3.0,16500.0,Other,Other,2018-07-17 17:37:44,2018-08-06 13:53:27,2F2CDEBB-A8E5-4397-A47A-5F9AD4792D7A,fear
GA,Richmond,Caucasian,28.0,Female,Divorced or Widowed,No,No,3.0,16500.0,Other,Other,2018-07-17 17:37:44,2018-08-06 13:53:27,2F2CDEBB-A8E5-4397-A47A-5F9AD4792D7A,fear
GA,Cherokee,Other,30.0,Female,Separated,No,No,2.0,0.0,Family and Children,Family/Divorce/Custody,2018-07-18 14:56:30,2018-10-26 14:29:25,42D87E80-E01D-4429-90D4-405ACF011746,surprise
GA,Paulding,Caucasian,37.0,Female,Divorced or Widowed,No,No,4.0,22000.0,Housing and Homelessness,Housing or Property Owned,2018-07-18 18:12:14,2018-09-23 04:46:49,C1E9C289-67CB-4063-A568-0364F0B679D1,fear
GA,Bartow,Caucasian,48.0,Female,Married / remarried,No,No,2.0,0.0,Family and Children,Family/Divorce/Custody,2018-07-21 13:37:32,2018-08-06 13:36:28,AE1ABFFF-2C00-4D65-936A-46534186C542,sad
GA,Bartow,Caucasian,48.0,Female,Married / remarried,No,No,2.0,0.0,Family and Children,Family/Divorce/Custody,2018-07-21 13:37:32,2018-08-06 13:36:28,AE1ABFFF-2C00-4D65-936A-46534186C542,sad
GA,Union,Other,38.0,Male,Married / remarried,,No,3.0,15000.0,Individual Rights,Civil/Constitutional Rights,2018-07-25 16:40:29,2018-10-26 14:29:55,42F18573-065F-43D6-BD0F-FB8996B8308B,sad
GA,Clayton,Caucasian,58.0,Male,Divorced or Widowed,No,No,1.0,15000.0,Consumer Financial Questions,Debts & Purchases,2018-07-25 20:33:11,2018-10-26 14:30:18,B9960861-6266-487A-80E6-87B3EB7AFEA2,fear
GA,Richmond,Other,57.0,Female,Married / remarried,,No,2.0,37000.0,Family and Children,Wills/Inheritance,2018-07-26 03:25:01,2018-08-05 19:18:15,336ADF30-F952-43FB-99AD-64D67F5F6DC0,fear
GA,Richmond,Other,57.0,Female,Married / remarried,,No,2.0,37000.0,Family and Children,Wills/Inheritance,2018-07-26 03:25:01,2018-08-05 19:18:15,336ADF30-F952-43FB-99AD-64D67F5F6DC0,fear
GA,Walton,African American,34.0,Female,Single,No,No,3.0,25000.0,Individual Rights,Civil/Constitutional Rights,2018-07-27 14:51:09,2018-10-26 14:30:51,26FE4364-F918-48A7-B3BB-8139A8B2289D,fear
